id,name_en,qid,matched_label,match_flag,ko,ja,zh,de,fr,es,vi
292,Case Western Reserve University,Q1047060,Case Western Reserve University,ok,케이스 웨스턴 리저브 대학교,ケース・ウェスタン・リザーブ大学,凱斯西儲大學,Case Western Reserve University,Université Case Western Reserve,Universidad Case de la Reserva Occidental,
314,City University of New York,Q762266,City University of New York,ok,뉴욕 시립 대학교,ニューヨーク市立大学,纽约市立大学,City University of New York,Université de la Ville de New York,Universidad de la Ciudad de Nueva York,Đại học Thành phố New York
319,Clarkson University,Q931865,Clarkson University,ok,,クラークソン大学,克拉克森大學,Clarkson University,Université Clarkson,,
320,Clark University,Q1095773,Clark University,ok,클라크 대학교,クラーク大学,克拉克大學,Clark University,Université Clark,Universidad Clark,
322,Clemson University,Q631066,Clemson University,ok,클렘슨 대학교,クレムソン大学,克莱门森大学,Clemson University,Université de Clemson,Universidad Clemson,
341,College of William and Mary,Q875637,College of William & Mary,ok,윌리엄 앤 메리 대학교,ウィリアム・アンド・メアリー大学,威廉與瑪麗學院,College of William & Mary,collège de William et Mary,The College of William and Mary,Đại học William và Mary
346,Colorado School of Mines,Q1111367,Colorado School of Mines,ok,콜로라도 광업대학,コロラド鉱山学校,科羅拉多礦業學院,Colorado School of Mines,Colorado School of Mines,Escuela de Minas de Colorado,
347,Colorado State University,Q1111640,Colorado State University,ok,콜로라도 주립 랜드 그랜트 대학교,コロラド州立大学,科羅拉多州立大學,,Université d'État du Colorado,Universidad Estatal de Colorado,Đại học Tiểu bang Colorado
353,Columbia University,Q49088,Columbia University,ok,컬럼비아 대학교,コロンビア大学,哥倫比亞大學,Columbia University,Université Columbia,Universidad de Columbia,Đại học Columbia
365,Cornell University,Q49115,Cornell University,ok,코넬 대학교,コーネル大学,康奈尔大学,Cornell University,Université Cornell,Universidad Cornell,Đại học Cornell
376,Dartmouth College,Q49116,Dartmouth College,ok,다트머스 대학교,ダートマス大学,达特茅斯学院,Dartmouth College,Dartmouth College,Dartmouth College,Đại học Dartmouth
396,Drexel University,Q603034,Drexel University,ok,드렉셀 대학교,ドレクセル大学,德雷塞尔大学,Drexel University,Université Drexel,Universidad Drexel,Đại học Drexel
421,Emory University,Q621043,Emory University,ok,에머리 대학교,エモリー大学,艾默理大學,Emory University,Université Emory,Universidad Emory,Đại học Emory
439,Florida International University,Q1065809,Florida International University,ok,플로리다 국제 대학교,フロリダ国際大学,佛羅里達國際大學,Florida International University,université internationale de Floride,Universidad Internacional de Florida,Đại học Quốc tế Florida
440,Florida State University,Q861548,Florida State University,ok,플로리다 주립 대학교,フロリダ州立大学,佛罗里达州立大学,Florida State University,Université d'État de Floride,Universidad Estatal de Florida,Đại học Tiểu bang Florida
442,Fordham University,Q130965,Fordham University,ok,포드햄 대학교,フォーダム大学,福坦莫大学,Fordham University,Université Fordham,Universidad de Fordham,
460,George Mason University,Q1411222,George Mason University,ok,조지 매이슨 대학교,ジョージ・メイソン大学,喬治梅森大學,George Mason University,Université George-Mason,Universidad George Mason,Đại học George Mason
461,Georgetown University,Q333886,Georgetown University,ok,조지타운 대학교,ジョージタウン大学,喬治城大學,Georgetown University,Université de Georgetown,Universidad de Georgetown,Đại học Georgetown
464,Georgia Institute of Technology,Q864855,Georgia Tech,ok,조지아 공과대학교,ジョージア工科大学,佐治亚理工学院,Georgia Institute of Technology,Institut de technologie de Géorgie,Instituto de Tecnología de Georgia,Học viện Công nghệ Georgia
468,Georgia State University,Q1509333,Georgia State University,ok,조지아 주립 대학교,ジョージア州立大学,喬治亞州立大學,Georgia State University,Université d'État de Géorgie,Universidad Estatal de Georgia,Đại học Tiểu bang Georgia
494,Harvard University,Q13371,Harvard University,ok,하버드 대학교,ハーバード大学,哈佛大學,Harvard University,Université Harvard,Universidad Harvard,Đại học Harvard
512,Howard University,Q1068752,Howard University,ok,하워드 대학교,ハワード大学,霍华德大学,Howard University,Université Howard,Universidad Howard,Đại học Howard
519,Illinois Institute of Technology,Q659706,Illinois Institute of Technology,ok,일리노이 공과대학교,イリノイ工科大学,伊利諾理工學院,Illinois Institute of Technology,Institut de technologie de l'Illinois,Instituto de Tecnología de Illinois,
522,Indiana State University,Q666128,Indiana State University,ok,인디애나 주립 대학교,インディアナ州立大学,印第安那州立大學,Indiana State University,Université d'État d'Indiana,Universidad Estatal de Indiana,Đại học Tiểu bang Indiana
535,Iowa State University,Q1136919,Iowa State University,ok,아이오와 주립 대학교,アイオワ州立大学,爱荷华州立大学,Iowa State University,Université d'État de l'Iowa,Universidad Estatal de Iowa,Đại học Tiểu bang Iowa
